"","long","lat","linea","estacion","escaleras_mecanicas","ascensores"
"1",-58.4364285288493,-34.6182799671446,"A","ACOYTE",2,2
"2",-58.4567097975238,-34.6266665931803,"A","CARABOBO",3,3
"3",-58.4218156713706,-34.6117702291255,"A","CASTRO BARROS",1,1
"4",-58.3926688246648,-34.6092256843174,"A","CONGRESO",2,2
"5",-58.4151857088376,-34.6107816904504,"A","LORIA",1,1
"6",-58.3742677264304,-34.6085590738533,"A","PERU",2,2
"7",-58.3709684989674,-34.6088103091689,"A","PLAZA DE MAYO",0,1
"8",-58.4411776251109,-34.6204052128589,"A","PRIMERA JUNTA",3,2
"9",-58.4486476540264,-34.6235289528893,"A","PUAN",3,3
"10",-58.4635405106286,-34.629087226797,"A","SAN JOSE DE FLORES",4,3
"11",-58.4696396292247,-34.630707087006,"A","SAN PEDRITO",3,2
"12",-58.3923142350887,-34.6044195428608,"B","CALLAO",5,3
"13",-58.3931251809727,-34.599639552419,"B","CALLAO",5,3
"14",-58.4810135036721,-34.5777973775423,"B","ECHEVERRIA",5,3
"15",-58.4863853478891,-34.5743189142748,"B","JUAN MANUEL DE ROSAS",11,6
"16",-58.4742408261771,-34.5812488459579,"B","LOS INCAS",4,2
"17",-58.4662272046921,-34.5840946201161,"B","TRONADOR",4,2
"18",-58.3872961335408,-34.6040935531057,"B","URUGUAY",2,3
"19",-58.3814344339343,-34.6276194522548,"C","CONSTITUCION",2,4
"20",-58.3923142350887,-34.6044195428608,"D","CALLAO",1,1
"21",-58.3931251809727,-34.599639552419,"D","CALLAO",1,1
"22",-58.3739558069511,-34.6078023364289,"D","CATEDRAL",1,1
"23",-58.4623784082243,-34.5556417664261,"D","CONGRESO DE TUCUMAN",6,2
"24",-58.3979237555734,-34.5997570807639,"D","FACULTAD DE MEDICINA",3,2
"25",-58.456489134589,-34.5623090869974,"D","JURAMENTO",6,3
"26",-58.3851423588013,-34.6015871651394,"D","TRIBUNALES",5,1
"27",-58.3717721700668,-34.596657340233,"E","CATALINAS",6,2
"28",-58.3704042434692,-34.6033293842467,"E","CORREO CENTRAL",9,4
"29",-58.3740182164816,-34.5911938083332,"E","RETIRO",10,3
"30",-58.3766323328018,-34.5919013602604,"E","RETIRO",10,3
"31",-58.3989275853601,-34.635750180343,"H","CASEROS",4,3
"32",-58.4037214964387,-34.5984551117734,"H","CORDOBA",6,3
"33",-58.4054503284842,-34.6044902016081,"H","CORRIENTES",10,6
"34",-58.3913254737854,-34.5834397237767,"H","FACULTAD DE DERECHO",2,3
"35",-58.4123851512005,-34.6412689433909,"H","HOSPITALES",3,3
"36",-58.402322730424,-34.6230923205019,"H","HUMBERTO 1Â°",5,4
"37",-58.4009695560165,-34.6293756575728,"H","INCLAN",4,3
"38",-58.3972155751019,-34.5874615464262,"H","LAS HERAS",6,4
"39",-58.4060363810352,-34.6089352416215,"H","ONCE",10,3
"40",-58.4057948259686,-34.6384059882851,"H","PARQUE PATRICIOS",4,3
"41",-58.4023761750349,-34.5945253962188,"H","SANTA FE",9,7
"42",-58.40473171649,-34.6152421522706,"H","VENEZUELA",4,3
